Pos,Age,MP,FG,FGA,FG%,PTS,height,weight,PER
G-F,31.0,,144.0,516.0,0.279,458.0,180.0,77.0,
SG,29.0,,102.0,274.0,0.372,279.0,188.0,83.0,
SF,25.0,,174.0,499.0,0.349,438.0,193.0,86.0,
F,24.0,,22.0,86.0,0.256,63.0,196.0,88.0,
F,24.0,,21.0,82.0,0.256,59.0,196.0,88.0,
F,24.0,,1.0,4.0,0.25,4.0,196.0,88.0,
G,22.0,,340.0,936.0,0.363,895.0,178.0,79.0,
G-F,23.0,,5.0,16.0,0.313,10.0,180.0,79.0,
F-C,28.0,,226.0,813.0,0.278,661.0,196.0,90.0,
F-C,28.0,,125.0,435.0,0.287,382.0,196.0,90.0,
F-C,28.0,,101.0,378.0,0.267,279.0,196.0,90.0,
PG,25.0,,80.0,248.0,0.323,242.0,183.0,77.0,
F-C,22.0,,88.0,305.0,0.289,254.0,196.0,90.0,
SF,22.0,,204.0,600.0,0.34,612.0,196.0,95.0,
F-G,24.0,,208.0,558.0,0.373,656.0,193.0,95.0,
C,27.0,,288.0,698.0,0.413,779.0,208.0,102.0,
G,21.0,,36.0,134.0,0.269,87.0,190.0,79.0,
PF,24.0,,234.0,718.0,0.326,713.0,196.0,97.0,
G-F,22.0,,373.0,1024.0,0.364,1031.0,196.0,81.0,
G,26.0,,368.0,1156.0,0.318,1138.0,185.0,81.0,
F-G,29.0,,11.0,23.0,0.478,34.0,193.0,83.0,
F,26.0,,276.0,764.0,0.361,724.0,193.0,92.0,
C,20.0,,17.0,48.0,0.354,47.0,208.0,106.0,
PF,24.0,,198.0,652.0,0.304,595.0,196.0,99.0,
G,23.0,,237.0,711.0,0.333,598.0,190.0,86.0,
F-G,26.0,,120.0,397.0,0.302,327.0,190.0,79.0,
SG,22.0,,207.0,549.0,0.377,560.0,190.0,81.0,
G-F,30.0,,99.0,290.0,0.341,267.0,183.0,77.0,
F-C,32.0,,212.0,617.0,0.344,614.0,196.0,90.0,
F-C,25.0,,23.0,75.0,0.307,82.0,193.0,88.0,
F-C,25.0,,13.0,45.0,0.289,44.0,193.0,88.0,
F-C,25.0,,10.0,30.0,0.333,38.0,193.0,88.0,
PG,32.0,,143.0,431.0,0.332,573.0,180.0,77.0,
F-C,29.0,,25.0,86.0,0.291,70.0,190.0,83.0,
F-C,29.0,,10.0,37.0,0.27,28.0,190.0,83.0,
F-C,29.0,,15.0,49.0,0.306,42.0,190.0,83.0,
F,24.0,,61.0,179.0,0.341,157.0,188.0,86.0,
SF,28.0,,283.0,898.0,0.315,752.0,196.0,88.0,
G-F,29.0,,7.0,26.0,0.269,19.0,188.0,81.0,
G-F,29.0,,1.0,8.0,0.125,5.0,188.0,81.0,
G-F,29.0,,6.0,18.0,0.333,14.0,188.0,81.0,
PF,25.0,,250.0,663.0,0.377,590.0,201.0,88.0,
G-F,26.0,,222.0,620.0,0.358,587.0,178.0,70.0,
G,22.0,,117.0,370.0,0.316,309.0,183.0,81.0,
F-C,25.0,,97.0,332.0,0.292,276.0,201.0,90.0,
PF,25.0,,245.0,840.0,0.292,723.0,193.0,92.0,
G,26.0,,185.0,574.0,0.322,449.0,185.0,74.0,
G,27.0,,98.0,235.0,0.417,395.0,183.0,79.0,
G,27.0,,78.0,243.0,0.321,211.0,185.0,77.0,
PG,30.0,,317.0,887.0,0.357,895.0,185.0,79.0,
F,26.0,,10.0,55.0,0.182,36.0,190.0,81.0,
F,25.0,,6.0,27.0,0.222,15.0,196.0,79.0,
G,22.0,,143.0,458.0,0.312,443.0,183.0,79.0,
F-C,30.0,,120.0,347.0,0.346,315.0,196.0,88.0,
G,23.0,,90.0,275.0,0.327,253.0,188.0,81.0,
F-C,27.0,,125.0,289.0,0.433,310.0,198.0,88.0,
SF,27.0,,332.0,906.0,0.366,826.0,190.0,85.0,
F-C,32.0,,104.0,274.0,0.38,360.0,196.0,92.0,
F-C,32.0,,55.0,148.0,0.372,196.0,196.0,92.0,
F-C,32.0,,49.0,126.0,0.389,164.0,196.0,92.0,
G,24.0,,56.0,200.0,0.28,142.0,188.0,79.0,
F-G,27.0,,143.0,487.0,0.294,413.0,190.0,79.0,
F-G,27.0,,107.0,351.0,0.305,306.0,190.0,79.0,
F-G,27.0,,36.0,136.0,0.265,107.0,190.0,79.0,
F-G,30.0,,172.0,500.0,0.344,483.0,190.0,86.0,
G,20.0,,14.0,57.0,0.246,36.0,185.0,83.0,
F-G,24.0,,132.0,396.0,0.333,340.0,188.0,81.0,
SG,27.0,,102.0,353.0,0.289,297.0,188.0,86.0,
PF,28.0,,336.0,1209.0,0.278,965.0,196.0,86.0,
SG,27.0,,226.0,671.0,0.337,609.0,180.0,77.0,
F-C,31.0,,9.0,35.0,0.257,24.0,198.0,88.0,
F-C,22.0,,263.0,664.0,0.396,803.0,198.0,95.0,
SG,24.0,,313.0,916.0,0.342,853.0,196.0,90.0,
G,29.0,,113.0,402.0,0.281,287.0,183.0,72.0,
F-G,26.0,,77.0,245.0,0.314,281.0,180.0,79.0,
F-C,28.0,,67.0,195.0,0.344,176.0,196.0,89.0,
F-C,28.0,,3.0,4.0,0.75,7.0,196.0,89.0,
F-C,28.0,,64.0,191.0,0.335,169.0,196.0,89.0,
F-C,27.0,,127.0,379.0,0.335,418.0,193.0,102.0,
F,22.0,,1.0,1.0,1.0,2.0,201.0,86.0,
F,22.0,,0.0,6.0,0.0,3.0,190.0,83.0,
F-C,20.0,,75.0,247.0,0.304,203.0,201.0,88.0,
F,22.0,,42.0,115.0,0.365,91.0,190.0,88.0,
F-G,26.0,,1.0,6.0,0.167,4.0,188.0,83.0,
C,23.0,,521.0,1090.0,0.478,1496.0,201.0,98.0,
F-G,24.0,,93.0,299.0,0.311,214.0,196.0,90.0,
F-G,24.0,,86.0,271.0,0.317,197.0,196.0,90.0,
F-G,24.0,,7.0,28.0,0.25,17.0,196.0,90.0,
C,24.0,,4.0,13.0,0.308,10.0,208.0,108.0,
C,30.0,,108.0,284.0,0.38,328.0,206.0,102.0,
G-F,31.0,,217.0,614.0,0.353,657.0,185.0,77.0,
G-F,30.0,,8.0,33.0,0.242,25.0,183.0,81.0,
PF,26.0,,177.0,488.0,0.363,482.0,201.0,95.0,
G-F,29.0,,223.0,550.0,0.405,643.0,188.0,81.0,
F-C,22.0,,168.0,465.0,0.361,476.0,201.0,88.0,
G,22.0,,125.0,348.0,0.359,300.0,201.0,88.0,
G,28.0,,84.0,302.0,0.278,272.0,180.0,81.0,
G,28.0,,46.0,157.0,0.293,161.0,180.0,81.0,
G,28.0,,38.0,145.0,0.262,111.0,180.0,81.0,
F,25.0,,55.0,195.0,0.282,152.0,190.0,92.0,
C,25.0,,89.0,278.0,0.32,296.0,206.0,97.0,
C,25.0,,65.0,209.0,0.311,214.0,206.0,97.0,
C,25.0,,24.0,69.0,0.348,82.0,206.0,97.0,
G,25.0,,25.0,65.0,0.385,56.0,190.0,77.0,
C-F,26.0,,196.0,615.0,0.319,545.0,206.0,102.0,
G,27.0,,275.0,865.0,0.318,693.0,178.0,79.0,
G-F,24.0,,312.0,914.0,0.341,866.0,188.0,88.0,
SF,24.0,,145.0,453.0,0.32,388.0,193.0,83.0,
PG,29.0,,206.0,625.0,0.33,556.0,178.0,79.0,
F,24.0,,19.0,64.0,0.297,52.0,193.0,81.0,
F,25.0,,9.0,30.0,0.3,31.0,190.0,83.0,
F-G,29.0,,84.0,289.0,0.291,240.0,190.0,83.0,
G,32.0,,42.0,148.0,0.284,193.0,180.0,79.0,
SF,29.0,,149.0,376.0,0.396,498.0,196.0,107.0,
PG,28.0,,243.0,779.0,0.312,590.0,180.0,77.0,
PG,28.0,,133.0,426.0,0.312,337.0,180.0,77.0,
PG,28.0,,110.0,353.0,0.312,253.0,180.0,77.0,
PF,23.0,,264.0,706.0,0.374,751.0,180.0,77.0,
